standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf
penyakit menular seksual,"['penyakit hubungan seksual', 'penyakit menular seksual']"
penyakit paget,['penyakit paget']
penyakit paru obstruktif kronis,"['penyakit paru obstruktif kronik ppok', 'penyakit2 paru', 'penyakit paru obstruktif kronik', 'obstruksi saluran napa reversible asma', 'penyakit paru obstruktif kronis', 'penyakit paru komplikasi konstriksi bronkus', 'obstruksi kronik', 'obstruksi saluran napa', 'obstruksi jalan napas', 'obstruksi jalan napa', 'penyakit paru obstruktif kronis eksaserbasi akut', 'obstruksi saluran nafas', 'penyakit paru obstruktif kronik (ppok)', 'penyakit paru', 'paru obstruktif kronik', 'obstruksi saluran nafas kronik', 'penyakit2 obstruksi saluran nafas']"
penyakit pes,['penyakit pes']
penyakit saluran empedu,"['sakit kandung empedu', 'penyakit2 kandung empedu saluran empedu']"
penyakit saluran pernapasan,"['penyakit pernapasan akut kronik', 'penyakit saluran pernafasan', 'penyakit saluran napas atas lain', 'penyakit saluran pernafasan kronis', 'penyakit disebabkan oleh virus saluran napas', 'penyakit saluran nafas kronik', 'penyakit saluran nafas akut kronik', 'pernapasan akut kronik', 'penyakit saluran pernafasan akut', 'penyakit bronkopulmoner akut kronik', 'penyakit saluran napa akut kronik', 'penyakit saluran napas akut khronik', 'penyakit disebabkan oleh virus saluran nafas', 'penyakit saluran pernafasan kronik', 'penyakit saluran pernafasan akut kronik', 'penyakit saluran nafas akut', 'penyakit saluran nafas', 'penyakit saluran napa', 'penyakitpenyakit saluran pernafasan akut kronis']"
penyakit saraf,"['penyakit saraf tertentu', 'beberapa penyakit sistem saraf', 'penyakit saraf']"
penyakit tulang,['sakit tulang']
penyempitan,['penyempitan']
penyempitan pembuluh darah,"['penyempitan pembuluh darah', 'memperlebar saluran pembuluh darah', 'penyempitan pembuluh vena']"
penyempitan saluran napas,['penyempitan saluran napas']
penyumbatan,"['sumbatan', 'penyumbatan']"
penyumbatan otak,"['penyumbatan otak', 'sumbatan otak']"
penyumbatan pembuluh darah,"['penyumbatan pembuluh', 'sakit dingin disebabkan penyumbatan arteri kronis', 'penyumbatan pembuluh arteri kronis', 'penyumbatan pembuluh darah arteri']"
penyumbatan saluran nafas,"['sumbatan pernafasan', 'penyumbatan saluran nafas', 'sumbatan saluran napas', 'penyakit penyumbatan saluran nafas']"
peradangan operasi gigi,['peradangan operasi gigi']
perdarahan gastrointestinal,"['profilaksis perdarahan gastrointestinal', 'perdarahan gastrointestinal']"
perdarahan saluran pencernaan,"['perdarahan saluran cerna atas', 'perdarahan saluran pencernaan']"
perdarahan subarachnoid,"['pendarahan subarakhnoid', 'perdarahan subarachnoid']"
periartritis,"['periartritis bahu', 'periarthritis', 'periartritis pinggul', 'periartritis']"
perih perut,['perih perut']
perikarditis,['perikarditis']
periodontitis,"['priodontitis', 'periodontitis']"
peritonitis,"['radang selaput perut', 'peritonitis radang selaput perut', 'peritonitis', 'peritoditis', 'peritonitisradang selaput perut']"
perut kembung,"['gas berlebihan', 'peredangan perut kembung', 'flatulent kembung', 'kembung', 'gejala masuk angin seperti perut kembung mual', 'perut kembung', 'tidak nyaman perut', 'flatulens kembung', 'kembung rasa tidak nyaman perut', 'kembung masuk angin', 'perut kembung masuk angin', 'perih kembung', 'rasa kembung', 'rasa tidak nyaman perut gas berlebihan']"
pielitis,['pielitis']
pilek,"['pilek anakanak', 'pilek alergi', 'pilek rinorea', 'pilek']"
pirosis,['pirosis']
pitiriasis kapitis,['pitiriasis kapitis']
plak mulut,['akumulasi plak rongga mulut']
pleuritis,['pleuritis']
plineuritis,"['b12 plineuritis neuralgia', 'plineuritis']"
pneumonia,"['pneumonia komuniti', 'pneumonia lingkungan', 'pneumonia saluran napa', 'streptococcus pneumoniae', 'acquired pneumonia', 'pneumonia cystitis', 'pneumonia akibat streptococcus', 'pneumonia bakteri', 's  pneumoniae', 'pneumonia faringitis', 'pneumonia akibat lingkungan', 'pnemonitis anaerob', 'pneumonia akut', 'pneumonia didapat dari lingkungan', 'pneumonia strep hemolitikus', 'kuman h influenzae s pneumoniae', 'spneumoniae', 'pneumonitis anaerob', 's.pneumoniae', 'pneumonia yang didapat dari lingkungan', 'pneumonia masyarakat', 'pneumonia komunitas communityacquired pneumonia', 'pneumonia', 'pneumonia komunitas', 'pneumonia dr lingkungan', 'streptococus pneumonia', 'pneumonia nosokomial', 'pneumonia atipik primer', 's pneumoniae']"
pneumonia aspirasi,['pneumonia aspirasi']
poliartritis kronik,"['poliarthritis kronis', 'poliartritis kronik']"
polineuritis,"['polineuritis', 'polyneuritis']"
polineuropati diabetik,"['polineuropati diabetikum', 'polineuropati diabetik']"
polip,['polip']
polip hidung,['polip hidung']
polip usus,['polip usus besar']
polisitemia vera,['polisitemia vera']
proktitis,['proktitis']
prolaps anus,"['prolaps anus fistula', 'prolaps anus']"
prostatitis,"['prostatitis akut', 'isk prostatitis', 'prostatites akut', 'prostatitis bakterial kronik', 'prostatites kronis', 'pielitis prostatitis akut kronis', 'prostatitis bakteri kronis', 'prostatitis']"
prurigo,"['ekzema prurigo', 'prurigo']"
pruritus,"['urtikaria khronik idiopathik', 'pruritus urtikaria khronik idiopathik', 'pruritus', 'pruritus anus', 'pruritus atau gatalgatal pada anus dan vulvagenital external pada wanita', 'pruritis ani', 'pruritus di anus', 'pruritis', 'pruritus gatalgatal anus vulvagenital external wanita', 'pruritus anogential', 'pruritis anogenital', 'alergi pruritis', 'pruritus pada urtikaria khronik idiopathik', 'pruritus anogenital', 'pruritus alergi']"
pseudohipoparatiroidisme,['pseudohipoparatiroidisme']
psikosis,['psikosis']
psitakosis,"['psittacosis', 'psitakosis', 'pittacosis', 'lympogranulloma psittacosis', 'psithachosis', 'lymphomagranuloma pittacosis', 'limfogranuloma psittacosis', 'limfogranuloma psitakosis']"
psoriasis,"['psoriasis diskoid', 'vulva psoriasis', 'psoriasis kecuali plak', 'psoriasis ', 'lesi psoriasis', 'inflamasi psoriasis', 'psoriasis']"
punggung pegal dan kaku,['punggung pegal']
purpura,['purpura']
pusing,"['kepala pusing', 'pusingmigren', 'pusingpusing', 'pusing vestibular', 'pusing yang berhubungan dengan gangguan keseimbangan pada gangguan sirkulasi darah', 'pusing berhubungan dengan gangguan keseimbangan gangguan sirkulasi darah', 'pusing', 'capek pusing']"
pustula,"['pustul', 'peradangan berupa pustula', 'pustula']"
rachitis,['rachitis']
radang,"['peradangan ulseratif', 'peradangan lokal', 'radang akut berat', 'peradangan topikal', 'peradangan', 'radang akibat amandel', 'peradangan noninfeksius', 'radang', 'kortikosteroid', 'radang akut yang berat', 'radang akut', 'peradangan akibat mikroorganisme peka']"
radang ginjal,"['pielonefritis radang ginjal serentak radang pasu ginjal', 'radang pasu ginjal', 'radang ginjal']"
radang gusi,['radang gusi']
radang hati,['peradangan hati']
radang hidung,"['peradangan mukosa hidung', 'peradangan hidung', 'peradangan akibat infeksi hidung']"
radang jaringan kuku,['radang jaringan kuku']
radang kulit,"['radang kkulit', 'radang kulit']"
radang mata,"['radang kantung air mata', 'radang selaput ikat mata', 'radang saraf mata', 'radang kornea mata', 'radang kelopak mata', 'radang selaput bening mata', 'gangguan radang mata', 'peradangan selaput mata', 'radang mata akibat reaksi alergi', 'peradangan mata', 'penyakit radang mata']"
radang mulut,"['peradangan rongga mulut tenggorokan', 'radang selaput lendir mulut', 'peradangan radang mulut', 'radang mulut']"
radang otot,['radang otot']
radang panggul,['penyakit radang panggul']
radang pankreas,['radang pankreas']
radang prostat,['radang prostat']
radang saluran pernapasan,"['radang ringan saluran nafas', 'radang saluran nafas', 'peradangan saluran pernafasan bagian atas']"
radang saraf,['radang saraf']
radang selaput lendir,['radang selaput lendir']
radang sendi,"['peradangan sendi', 'radang sendi']"
radang sumsum tulang,"['radang sumsum tulang', 'radang sumsum tulang akut']"
radang telinga,"['radang telinga bagian tengah', 'radang telinga tengah', 'radang telinga akut kronis', 'inflamasi radang telinga', 'radang rongga gendang telinga', 'radang telinga bagian luar', 'radang telinga bagian luar tengah', 'radang telinga bagian luar  tengah', 'peradangan akibat infeksi telinga']"
radang tenggorokan,"['peradangan akibat infeksi tenggorokan', 'radang tenggorokan']"
radang usus,"['radang pada usus', 'radang usus halus', 'radang usus', 'radang usus peradangan usus']"
rakitis,"['rakhitis akibat defisiensi vit d', 'penyakit rickets', 'riketsia', 'rachitis rickets', 'rakhitis akibat defisiensi vit  d', 'rickets', 'infeksi ricketsia', 'rickettsia', 'ricketsia', 'rakhitis']"
rambut rontok,"['rambut rontok', 'kerontokan rambut']"
reactive arthritis,['reactive arthritis']
refluks,"['refluks', 'reflux', 'reflucks']"
rematik,"['reumatik nonartikular', 'rematik', 'renatik tulang', 'rematik nonartikular', 'nyeri penyakit reumatik', 'rematik tulang', 'reumatik non artikular', 'rheumatik', 'reumatik non sendi', 'reumatik non artikular sakit tulang', 'rheumatisme nonartikuler', 'nonartikular reumatik', 'penyakit reumatik', 'reumatik', 'reumatik tulang', 'reumatik sendi', 'reumatik jaringan lunak terlokalisir', 'nyeri reumatik', 'penyakit renatik tulang', 'non artikular reumatik', 'rematik non artikular']"
retensi urin pasca operasi,['retensi urin pasca operasi']
rheumatoid arthritis,"['arthritis rheumatoid', 'rheumatoid arthritis poliartritis kronik', 'ra', 'pasien rematoid atritis akut kronis', 'reumatoid artritis akut kronis', 'reumatoid atritis akut kronis', 'reumatoid arthritis', 'rematoid artritis', 'artritis rematoid', 'artritis reumatoid', 'arthritis reumatoid ar', 'atritis rematoid', 'rheumatoid arthritis ra', 'reumatoid artritis', 'ar', 'juvenile artritis reumatoid', 'artritis rematoid aktif', 'rematoid artitis', 'reumatik generatif atritis rematoid', 'rematoid atritis akut', 'reumatoid artritis akut', 'inflamasi degeneratif artritis rematoid', 'nyeri rematoid atritis akut', 'reumatoid atritis kronis', 'rheumatoid arthritis', 'artritis rheumatoid juvenil', 'rematoid athritis', 'gejala artritis reumatoid', 'rematoid atritis kronis', 'arthritis reumatoid', 'rematoid astritis ar', 'arthritis reumatik', 'rematik artritis', 'nyeri rematoid atritis kronis', 'reumatoid atritis akut', 'rematoid atritis akut kronis', 'artritis rheumatoid', 'reumatoid atritis', 'rheumatoid arhritis', 'reumatoid artritis kronis', 'rematoid', 'rheumatoid artritis', 'gejala juvenile artritis reumatoid']"
rhinitis,"['rinitis vasomotorik', 'rhinitis vasomotor', 'rinitis parenial', 'rhinitis', 'rinitis vasomotor', 'perennial rhinitis', 'vasomotor rhinitis', 'rinitis purulen', 'rinitis menahun']"
rhinitis alergi,"['rinitis alergi musiman', 'rinitis intermiten', 'alergi rinitis intermiten persisten  menerus', 'rinitis alergi musiman perennial', 'alergi rhinitis', 'rinitis alergi menahun musiman', 'rinitis alergi seasonal perenial', 'rinitis alergi persisten', 'alergi rinitis perenial', 'rinitis perenial', 'rinitis alergi musiman menahunterus menerus', 'rinitis', 'rinitis alergik', 'alergi rinitis nasal nonnasal', 'rinitis alergi seasonal', 'rinitis alergi', 'alergi rinitis intermitensewaktu', 'rinitis alergi perenial', 'rhinitis alergika', 'rinitis alergi nasal', 'rinitis alergi konjungtivitis', 'alergi rinitis nasal  nonnasal', 'allergic rhinitis', 'rhinitis alergi', 'alergi hidung', 'rinitis musiman', 'alergi rinitis persistenterusmenerus', 'rinitis alergi musiman tahunan', 'alergi rinitis', 'rinitis alergi tahunan musiman', 'alergi rinitis intermiten persisten menerus', 'alergi pernafasan', 'rinitis persisten', 'rinitis alergika']"
riketsiosis,['riketsiosis']
rinofaringitis,['rinofaringitis']
ruam merah,"['kemerahan keadaan inflamasi', 'tinea manus ruam merah tangan', 'kemerahan', 'bercak merah', 'merah', 'merah iritasi', 'ruam merah']"
ruam popok,['ruam popok']
sakit gigi,"['sakit gigi nyeri ringan', 'sakit gigi', 'sakil gigi', 'sakit saat pertumbuhan gigi']"
sakit kepala,"['nyeri sakit kepala', 'sakit kepala kekakuan otot', 'sakit kepala derajat sedang', 'sakit kepala sebelah', 'sakit kepala', 'sakit kepalan', 'sakit kepala sakit gigi', 'sakit kepala vaskular', 'skit kepala']"
sakit maag,"['maag', 'sakit maag']"
sakit otot,['sakit otot']
sakit pasca vaksinasi,"['sakit paska vaksinasi', 'sakit pasca vaksinasi']"
sakit perut,"['sakit perut', 'sakit perus']"
sakit pinggang,"['sakit pinggang', 'sakit otot pinggang', 'sakit pinggan']"
sakit pundak,['sakit pundak']
sakit punggung,"['sakit punggung bawah', 'sakit punggung bagian bawah', 'sakit punggung']"
sakit sendi,['sakit sendi']
sakit tenggorokan,"['sakıt tenggorokan', 'rasa sakit tenggorokan', 'rasa sakit di tenggorokan', 'sakit tenggorokan']"
salpingitis,['salpingitis']
sariawan,"['sariawan', 'nyeri akibat sariawan', 'panas dalam disertai sariawan', 'tukak sariawan']"
selaput air mata tidak stabil,['selaput air mata tidak stabil']
selulitis,"['selulitis pelvis', 'selulitis', 'selulitis pelvis pasca operasi vagina']"
sepsis,"['sepsis puerperal intra abdomen', 'sepsis', 'sepsis intraabdominal', 'sepsis puerperal', 'sepsis purpura', 'sepsis intra abdominal']"
septic arthritis,"['artritis septik', 'artritis septik osteomielitis']"
septikemia,"['septikemia', 'septicaemia', 'kulit septikemia', 'septikemiakeracunan darah oleh bakteri patogenik zatzat dihasilkan oleh bakteri tersebut', 'septikemia keracunan darah oleh bakteri patogenik danatau zatzat dihasilkan oleh bakteri tersebut', 'septicemia']"
serangan jantung,['serangan jantung']
servisitis,"['servisitis sal pernafasan kecuali disebabkan streptococus', 'cervicitis', 'servisitis sal pernafasan', 'servisitis komplikasi', 'servisitis', 'uretritis servisitis go', 'uretritis servisitis', 'uretritis go servisitis komplikasi', 'servisitis go', 'infeksi servisitis non gonokokal']"
sesak napas,"['sesak nafas', 'sesak', 'sesak napas', 'mengi sesak napas paruparu asma']"
sicca,"['sicca', 'sindrom sicca']"
sifilis,"['sipilis', 'sifilis']"
sindrom nefrotik,"['sindroma nefrotik', 'sindrom nefrotik']"
sindrom raynaud,"['fenomena reynaud', 'sindroma raynaud', 'fenomena raynaud', 'sindrom raynaud']"
sindrom zollinger-ellison,"['sindrom zollinger ellison adenoma endokrin multiple', 'sindroma zollingerellison', 'hipersekreasi patologis zollingerellison', 'sindrom zollinger', 'sindrom zollinge', 'zollinger ellison syndrome', 'hipersekrese patologis sindroma zollinger ellison', 'sindrom zollinger-ellison', 'sindroma zollinger', 'sindrom zollingerellison adenoma endokrin multiple', 'sindroma zollinger ellison', 'hipersekreasi patologis sindrom zollinger ellison', 'hipersekreasi patologis seperti sindroma zollingerellison', 'sindroma zollingerellison pendarahan gi', 'sindrom zollinger ellison', 'hipersekresi patologis sindroma zollinger ellison', 'sindrom zollingerellison', 'sindroma zollinger ellison pendarahan gi']"
sindroma leher,['sindroma leher']
sinusitis,"['rinosinusitis', 'sinusitis maksilaris akut', 'sinusitis', 'sinusitis maksilaris', 'sinusitus', 'sinusitis alergi', 'sinusitis maxillary akut', 'sistitis', 'sinusitis akut', 'sinusitis bakterial akut']"
sirosis,"['sirosis hepatik', 'sirosis hati', 'sirosis']"
sitotoksik,['sitotoksik']
skiatika,['skiatika']
skleritis,"['sclaritis', 'skleritis', 'scleritis']"
sklerosis,['sklerosis multipel']
skorbut,['skorbut']
spasme,['spasme']
spasme kram muskuloskeletal,"['spasme kram muskuloskeletal', 'spasme muskuloskeletal']"
spondilartritis,"['spondiloartritis kronik', 'spondiloartritis', 'spondilartritis', 'spondiloartritis akut', 'spondiloartritis akut kronik']"
spondilitis deformans,['spondilitis deformans']
stenosis pilorus,"['stenosis pilorik bersifat ringan', 'stenosis pilorikringan', 'stenosis pylorus', 'stenosis pilorus', 'stenosis pilorik']"
strain,"['strains otot tegang', 'strains', 'strain']"
stres,"['stress', 'stres']"
stroke,['stroke']
stroke iskemik,"['stroke iskhemik', 'stroke iskemik', 'gejala iskhemik']"
sulit konsentrasi,['sulit konsentrasi']
susah bab,['susah bab']
takikardia,"['takikardia supraventrikular paroksismal', 'takikardia supraventrikuler paroksismal', 'takikardia', 'takikardia atrial ektopik']"
tbc (tuberkulosis),"['tuberkulosis milliar', 'tbc paru', 'tbc ekstra paru', 'tuberkulosis pulmoner', 'tbc infeksi mikobakterial', 'mycobacterium tuberculosis', 'tuberkulosis pulmoner ekstrapulmoner', 'tuberkulosa', 'tb', 'tb tuberkulosis pulmoner ekstrapulmoner', 'ekstrapulmoner', 'tuberkulosis ekstrapulmoner', 'tubercolsis', 'tbc paru paru', 'tuberkulosis tb paru resistensi', 'infeksi bakteri mycobacterium tuberculosis tbc', 'ekstra pulmoner', 'tb pulmoner', 'tuberkulosis', 'tuberkulosis paru resisten', 'tuberkolusis', 'tb aktif mycobacterium tuberculosa', 'tbc', 'antituberkulosis', 'tb paru', 'tuberkulosis primer', 'mycobacterium tuberculosa', 'tuberkulosa paru', 'tbc lepra', 'tuberkulosis paru']"
tendinitis,['tendinitis']
tendovaginitis,['tendovaginitis']
tenggorokan gatal,['tenggorokan gatal']
tenggorokan kering,['tenggorokan kering']
terkilir,"['sakit terkilir', 'terkilir ringan', 'terkilir']"
tersiram air panas,['tersiram air panas']
tetanus,['tetanus']
tifus,"['profilaksis scrub tifus', 'tifus', 'scrub tifus', 'skrub tipus', 'demam tifus']"
tinea barbae,"['sikosis barbae', 'tinea barbae']"
tinea capitis,"['tinea kapitis', 'dermatomiosis kandidiasis mikosis sistemik tinea corporis tinea pidea tinea kapitis', 'tinea capitis']"
tinea corporis,"['tinea korporis', 'tinea kruris korporis', 'tinea korporis kurap', 'tinea corporis kurap', 'tinea corporis']"
tinea cruris,"['gatal jamur selangkangan', 'tinea cruris gatal jamur selangkangan', 'krusis', 'tinea kruris', 'tinea cruris', 'tinea kuris', 'tinea krusis']"
tinea manus,"['tinea manus', 'tinea manum']"
tinea pidea,['tinea pidea']
tinnitus,"['telinga berdengung', 'tinnitus', 'tinitus telinga berdenging', 'tinitus', 'telinga berdengung tinnitus']"
tirotoksikosis,"['tirotoksikosis feokhromositoma', 'tirotoksikosis']"
toksoplasmosis,"['profilaksis toksoplasmosis wanita hamil', 'toxoplasmosis', 'toksoplasmosis', 'infeksi toksoplasmosis', 'infeksi toxoplasmosis']"
tonsilitis,"['tonsilitis', 'tonsillitis', 'tonsilitis streptokokus', 'tonsilitis akut']"
trakhitis,['trakhitis']
trauma otot,"['trauma otot', 'trauma otot muskuloskeletal']"
trauma terkilir,['trauma terkilir']
tremor esensial,['tremor esensial']
trikomoniasis,"['trikomoniasis', 'trikomoniasis salurah kemih kelamin']"
tromboflebitis,['tromboflebitis']
trombosis superfisial,['trombosis superfisial']
trombositemia,['trombositemia']
trombositopenia,['trombositopenia']
tukak,"['tukak khronik', 'tukak']"
tukak akibat ains,['tukak akibat ains']
tukak kulit,['tukak kulit']
tukak lambung,"['tukak duodenum tukak lambung ringan', 'tukak ulkus lambung', 'tukakulkus lambung', 'tukak lambung jinak tukak pasca operasi', 'tukak lambung ulkus peptik', 'tukak ulkus lambung ulkus tukak lambung paska tindakan', 'ulkus lambung', 'ulkus gaster', 'penyakit lambung usus halus', 'tukak lambung ringan', 'tukak lambung tukak duodenum', 'pasien tukak lambung', 'ulkus lambung usus halus', 'tukak lambung tukak usus halus', 'tukak lambung jinak', 'tuka lambung', 'ulcus gaster', 'tukak lambung danatau usus halus', 'lesi lambung', 'ulkus tukak lambung usus halus', 'tukak lambung usus', 'ulkus tukak lambung', 'seperli tukak lambung', 'luka lambung', 'tukak lambung aktif', 'tukak ulkus lambung usus halus', 'tukak lambung', 'tukak lambung usus duabelas jari', 'tukak lambung duodenum']"
tukak pasca operasi,['tukak pasca operasi']
tukak sirkumsisi,['tukak sirkumsisi']
tukak traumatik,['tukak traumatik']
tukak trofik,"['tukak trofik', 'tukak trofik varises']"
tumor,"['tumor jinak', 'tumor']"
ulkus,"['ulkus luka akibat aliran darah arteri', 'tukak ulkus', 'ulkus']"
ulkus dekubitus,['ulkus dekubitus']
ulkus dibetik,['ulkus dibetik']
ulkus duodenum,"['tukak duodenum', 'ulkus aktif usus halus duodenum', 'tukak usus 12 jari', 'tukak duodenum akut', 'tukak usus dua belas jari', 'tukak usus 12 jari lambung', 'tukak usus', 'ulcus duodenal', 'tukakulkus usus halus', 'tuka duodenal', 'ulkustukak usus halus', 'luka duodenal', 'tukak ulkus peptik usus halus', 'tukak lambungusus halus', 'ulkustukak lambungusus halus', 'tukakulkus lambungusus halus', 'ulus duodenum aktif', 'ulkus usus halus', 'tukak usus belas jari aktif', 'tukak duodenum hpylori', 'tukak usus 12 jari aktif', 'ulkus peptik usus halus', 'tukak usus belas jari', 'ulkus usus halus duodenum', 'terapi ulkus usus halus duodenum paska aktifnya', 'ulkus duodenum', 'ulkus tukak usus halus aktif', 'ulkus duodenum aktif', 'lesi lambung duodenum', 'tukak usus halus', 'lesi duodenum', 'tukak duodenal', 'ulkus tukak usus halus', 'ulkus duodenal', 'ulkus deudenum']"
ulkus genital,"['penyakit ulkus genital orang dewasa', 'penyakit ulkus genital']"
ulkus kaki,"['ulkus kaki kronis', 'ulkus kaki']"
ulkus kornea,"['ulkus pada kornea', 'tukak kornea', 'luka kornea', 'tukak kornea mata', 'ulkus kornea']"
ulkus peptik ,"['tukak ulkus peptik', 'ulkus tukak peptik', 'regimen eradikasi h pylori tukak peptik', 'ulkustukak peptik', 'ulkus peptik', 'ulkus peptikum disebabkan h pylori', 'tukak ulkus peptikum', 'tukakulkus peptik', 'ulkus peptikum', 'pencegahan kambuhnya tukakulkus peptik', 'tukak peptik', 'ulkus sistem pencernaan']"
ulserasi,"['ulserasi obat', 'ulserasi traumatik', 'ulserasi']"
ulseratif,['ulseratif']
uretritis,"['uritritis', 'gi uretritis', 'uritritis non gonokokal', 'uretritis non go', 'uretritis nongonococcal', 'uretritis nongonokokus', 'urethritis vaginitis', 'gi uretritis servisitis go', 'protozoa uretritis', 'urethritis', 'infeksi uretritis', 'urethris', 'uretritis']"
urogenital trichomoniasis,"['trikomoniasis sal kemih kelamin', 'urogenital trichomoniasis']"
urtikaria,"['urtikaria idiopatik kronik', 'alergi urtikaria', 'urticaria', 'cold urtikaria', 'cold urticaria', 'urilkaria', 'urtikaria kronis', 'urtikaria idiopati kronis', 'rinitis urtikaria', 'alergi urtikaria angioedema cold urticaria allergic rhinitis vasomotor rhinitis', 'urtikaria idiopatik kronis', 'urtikaria idiopatik khronik', 'urtikaria kronik', 'urtikaria', 'urtikaria khronik', 'manifestasi alergi kulit urtikaria']"
uterus disfungsional,['uterus disfungsional']
uveitis,"['chronic anterior uveitis', 'uveitis']"
vaginitis,"['vaginitis', 'trichomonas vaginalis', 'vaginitis trichomonas', 'vaginitis nonspesifik', 'vaginitis trichomonas vaginalis', 'vaginitis kandida']"
vaginosis bakterialis,"['vaginosis bakterialis', 'bacterial vaginosis']"
varicela,"['varicella zoster', 'varisela', 'varicella', 'varicela']"
varises,['varises']
vertigo,"['vertigo perifer', 'vertigo']"
vulvitis,"['vulvitis', 'vulvitas']"
wasir (ambeien),"['wasir kronis menahun', 'hemoroid eksternal', 'hemoroid akut', 'wasir kronik', 'hemoroid', 'hemoroid interna', 'hemoroid eksterna', 'wasirhemoroid', 'wasir (ambeien)', 'wasir', 'wasir internal eksternal', 'gejala wasir', 'nyeri panas pendarahan akibat wasir', 'hemoroid wasir', 'hemoroid internal', 'wasir kronik akut', 'wasir akut', 'hemoroidwasir eksternal', 'hemoroidwasir internal', 'hemoroid akut internal eksternal', 'hemoroid interna eksterna', 'wasir ambeien', 'ambien wasir']"
