standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf
sendi kaku,['kekakuan sendi']
sepsis,"['sepsis puerperal intra abdomen', 'sepsis', 'sepsis purpura', 'sepsis intra abdominal', 'sepsis intraabdominal', 'sepsis puerperal']"
septic arthritis,"['artritis septik', 'artritis septik osteomielitis']"
septikemia,"['septikemia keracunan darah oleh bakteri patogenik danatau zatzat dihasilkan oleh bakteri tersebut', 'septikemiakeracunan darah oleh bakteri patogenik zatzat dihasilkan oleh bakteri tersebut']"
serangan jantung,['serangan jantung']
servisitis,"['servisitis sal pernafasan kecuali disebabkan streptococus', 'uretritis servisitis', 'servisitis go', 'infeksi servisitis non gonokokal', 'servisitis komplikasi', 'uretritis go servisitis komplikasi', 'cervicitis', 'uretritis servisitis go', 'servisitis sal pernafasan', 'servisitis']"
sesak napas,"['sesak napas', 'mengi sesak napas paruparu asma', 'sesak nafas', 'sesak']"
sicca,['sicca']
sifilis,"['sipilis', 'sifilis']"
sindrom nefrotik,"['sindrom nefrotik', 'sindroma nefrotik']"
sindrom raynaud,"['sindroma raynaud', 'fenomena reynaud', 'sindrom raynaud', 'fenomena raynaud']"
sindrom zollinger-ellison,"['hipersekrese patologis sindroma zollinger ellison', 'sindroma zollingerellison pendarahan gi', 'sindrom zollingerellison', 'sindrom zollinger ellison adenoma endokrin multiple', 'hipersekreasi patologis seperti sindroma zollingerellison', 'hipersekreasi patologis zollingerellison', 'sindrom zollinger ellison', 'hipersekreasi patologis sindrom zollinger ellison', 'sindroma zollinger ellison pendarahan gi', 'sindrom zollinger-ellison', 'sindrom zollinger', 'sindroma zollingerellison', 'hipersekresi patologis sindroma zollinger ellison', 'sindroma zollinger', 'zollinger ellison syndrome', 'sindrom zollinge', 'sindroma zollinger ellison', 'sindrom zollingerellison adenoma endokrin multiple']"
sindroma leher,['sindroma leher']
sinusitis,"['sinusitis akut', 'sinusitis', 'sinusitus', 'sinusitis maksilaris akut', 'sistitis', 'sinusitis maxillary akut', 'sinusitis bakterial akut', 'sinusitis alergi', 'sinusitis maksilaris']"
sirosis,"['sirosis hepatik', 'sirosis hati', 'sirosis']"
skiatika,['skiatika']
skleritis,"['scleritis', 'skleritis']"
skorbut,['skorbut']
spasme kram muskuloskeletal,['spasme kram muskuloskeletal']
spondilartritis,"['spondiloartritis akut', 'spondiloartritis', 'spondiloartritis akut kronik', 'spondilartritis', 'spondiloartritis kronik']"
spondilitis deformans,['spondilitis deformans']
stenosis pilorus,"['stenosis pilorus', 'stenosis pylorus', 'stenosis pilorik', 'stenosis pilorik bersifat ringan']"
stres,"['stres', 'stress']"
stroke,['stroke']
stroke iskemik,"['stroke iskemik', 'stroke iskhemik', 'gejala iskhemik']"
takikardia,"['takikardia supraventrikuler paroksismal', 'takikardia supraventrikular paroksismal', 'takikardia atrial ektopik', 'takikardia']"
tbc (tuberkulosis),"['tuberkulosis', 'tbc paru', 'tb', 'tb aktif mycobacterium tuberculosa', 'tbc paru paru', 'tbc', 'tuberkulosis paru resisten', 'tbc infeksi mikobakterial', 'tb paru', 'mycobacterium tuberculosis', 'tuberkulosa', 'tbc ekstra paru', 'mycobacterium tuberculosa', 'tuberkulosis paru', 'tuberkulosa paru']"
tendinitis,['tendinitis']
tendovaginitis,['tendovaginitis']
tenggorokan gatal,['tenggorokan gatal']
tenggorokan kering,['tenggorokan kering']
tetanus,['tetanus']
tifus,"['tifus', 'demam tifus', 'scrub tifus', 'profilaksis scrub tifus']"
tinea barbae,"['tinea barbae', 'sikosis barbae']"
tinea capitis,"['tinea kapitis', 'tinea capitis', 'dermatomiosis kandidiasis mikosis sistemik tinea corporis tinea pidea tinea kapitis']"
tinea corporis,"['tinea kruris korporis', 'tinea corporis', 'tinea korporis', 'tinea corporis kurap', 'tinea korporis kurap']"
tinea cruris,"['tinea cruris gatal jamur selangkangan', 'tinea cruris', 'tinea kuris', 'tinea krusis', 'gatal jamur selangkangan', 'krusis', 'tinea kruris']"
tinnitus,"['telinga berdengung', 'tinitus telinga berdenging', 'telinga berdengung tinnitus', 'tinitus', 'tinnitus']"
tirotoksikosis,"['tirotoksikosis feokhromositoma', 'tirotoksikosis']"
toksoplasmosis,"['profilaksis toksoplasmosis wanita hamil', 'infeksi toxoplasmosis', 'toksoplasmosis', 'infeksi toksoplasmosis', 'toxoplasmosis']"
tonsilitis,"['tonsilitis', 'tonsilitis streptokokus']"
trakhitis,['trakhitis']
trauma terkilir,['trauma terkilir']
tremor esensial,['tremor esensial']
trikomoniasis,"['trikomoniasis', 'trikomoniasis salurah kemih kelamin']"
tromboflebitis,['tromboflebitis']
trombositemia,['trombositemia']
trombositopenia,['trombositopenia']
tukak lambung,"['pasien tukak lambung', 'tukak lambung duodenum', 'tukak lambung aktif', 'ulkus lambung usus halus', 'ulkus peptikum', 'tukak ulkus lambung', 'lesi lambung', 'ulkus lambung', 'tukak lambung ulkus peptik', 'tukak lambung jinak', 'tukak kulit', 'seperli tukak lambung', 'tukak peptik', 'tukak duodenum tukak lambung ringan', 'tukak', 'tukak lambung usus duabelas jari', 'tuka lambung', 'ulkus tukak lambung usus halus', 'penyakit lambung usus halus', 'tukak lambung usus', 'ulkus tukak lambung', 'luka lambung', 'ulkus peptikum disebabkan h pylori', 'tukak lambung ringan', 'tukak ulkus lambung ulkus tukak lambung paska tindakan', 'tukak lambung danatau usus halus', 'tukak khronik', 'tukak lambung', 'ulkus peptik', 'tukak ulkus peptikum', 'tukak ulkus peptik', 'tukak lambung tukak duodenum', 'ulkus tukak peptik', 'tukak ulkus lambung usus halus', 'tukak lambung jinak tukak pasca operasi', 'tukak lambung tukak usus halus']"
tukak pasca operasi,['tukak pasca operasi']
tukak traumatik,['tukak traumatik']
tukak trofik,"['tukak trofik', 'tukak trofik varises']"
tumor,"['tumor jinak', 'tumor']"
ulkus,"['tukak ulkus', 'ulkus']"
ulkus dekubitus,['ulkus dekubitus']
ulkus duodenum,"['ulkus duodenal', 'tukak usus belas jari', 'ulkus peptik usus halus', 'ulus duodenum aktif', 'tukak duodenum hpylori', 'tukak usus dua belas jari', 'ulcus duodenal', 'tukak usus halus', 'ulkus aktif usus halus duodenum', 'tukak usus', 'lesi duodenum', 'tukak duodenal', 'tukakulkus usus halus', 'tukak usus 12 jari', 'tukak duodenum akut', 'tukak duodenum', 'ulkus tukak usus halus aktif', 'tukak usus belas jari aktif', 'tukak ulkus peptik usus halus', 'ulkus usus halus', 'ulkus usus halus duodenum', 'terapi ulkus usus halus duodenum paska aktifnya', 'ulkus duodenum aktif', 'luka duodenal', 'ulkus tukak usus halus', 'ulkus deudenum', 'lesi lambung duodenum', 'ulkus duodenum', 'tukak usus 12 jari lambung', 'tukak usus 12 jari aktif', 'tuka duodenal']"
ulkus genital,"['penyakit ulkus genital orang dewasa', 'penyakit ulkus genital']"
ulkus kornea,"['ulkus kornea', 'tukak kornea', 'ulkus pada kornea', 'luka kornea', 'tukak kornea mata']"
ulkus sistem pencernaan,['ulkus sistem pencernaan']
uretritis,"['urethris', 'gi uretritis', 'uretritis nongonokokus', 'uritritis non gonokokal', 'gi uretritis servisitis go', 'uretritis', 'urethritis vaginitis', 'infeksi uretritis', 'uritritis', 'uretritis non go', 'protozoa uretritis', 'uretritis nongonococcal', 'urethritis']"
urogenital trichomoniasis,"['urogenital trichomoniasis', 'trikomoniasis sal kemih kelamin']"
urtikaria,"['alergi urtikaria angioedema cold urticaria allergic rhinitis vasomotor rhinitis', 'manifestasi alergi kulit urtikaria', 'urtikaria', 'urtikaria kronik', 'cold urticaria', 'urtikaria idiopatik kronis', 'urtikaria khronik', 'rinitis urtikaria', 'urtikaria idiopatik kronik', 'urticaria', 'alergi urtikaria', 'cold urtikaria', 'urilkaria', 'urtikaria kronis', 'urtikaria idiopatik khronik']"
uveitis,"['uveitis', 'chronic anterior uveitis']"
vaginitis,"['vaginitis trichomonas vaginalis', 'vaginitis nonspesifik', 'vaginitis trichomonas', 'trichomonas vaginalis', 'vaginitis', 'vaginitis kandida']"
vaginosis bakterialis,"['bacterial vaginosis', 'vaginosis bakterialis']"
varicela,"['varicella zoster', 'varicela', 'varisela', 'varicella']"
varises,['varises']
vertigo,"['vertigo perifer', 'vertigo']"
vulvitis,"['vulvitis', 'vulvitas']"
wasir (ambeien),"['wasir (ambeien)', 'wasir', 'nyeri panas pendarahan akibat wasir', 'gejala wasir', 'ambien wasir', 'wasir kronik akut', 'hemoroid eksterna', 'wasir ambeien', 'hemoroid', 'wasir kronik', 'hemoroid akut internal eksternal', 'hemoroid eksternal', 'wasir kronis menahun', 'hemoroid interna eksterna', 'wasir akut']"
