standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf
polineuropati diabetik,"['polineuropati diabetikum', 'polineuropati diabetik']"
polip,['polip']
polip hidung,['polip hidung']
polip usus,['polip usus besar']
polisitemia vera,['polisitemia vera']
proktitis,['proktitis']
prostatitis,"['pielitis prostatitis akut kronis', 'isk prostatitis', 'prostatitis bakteri kronis', 'prostatitis akut', 'prostatitis bakterial kronik', 'prostatitis']"
prurigo,"['prurigo', 'ekzema prurigo']"
pruritus,"['pruritus anogenital', 'pruritus alergi', 'pruritus anogential', 'pruritus anus', 'alergi pruritis', 'pruritus urtikaria khronik idiopathik', 'pruritus gatalgatal anus vulvagenital external wanita', 'pruritis', 'pruritis ani', 'pruritus pada urtikaria khronik idiopathik', 'pruritus', 'pruritus atau gatalgatal pada anus dan vulvagenital external pada wanita', 'urtikaria khronik idiopathik', 'pruritus di anus', 'pruritis anogenital']"
pseudohipoparatiroidisme,['pseudohipoparatiroidisme']
psikosis,['psikosis']
psitakosis,"['lympogranulloma psittacosis', 'pittacosis', 'limfogranuloma psitakosis', 'psithachosis', 'lymphomagranuloma pittacosis', 'psittacosis', 'limfogranuloma psittacosis', 'psitakosis']"
psoriasis,"['inflamasi psoriasis', 'psoriasis kecuali plak', 'psoriasis diskoid', 'psoriasis', 'lesi psoriasis', 'vulva psoriasis', 'psoriasis ']"
punggung pegal dan kaku,['punggung pegal']
purpura,['purpura']
pusing,"['pusing yang berhubungan dengan gangguan keseimbangan pada gangguan sirkulasi darah', 'kepala pusing', 'pusing', 'pusingmigren', 'pusing berhubungan dengan gangguan keseimbangan gangguan sirkulasi darah', 'capek pusing', 'pusingpusing', 'pusing vestibular']"
rachitis,['rachitis']
radang,"['radang akut', 'radang akut berat', 'peradangan akibat mikroorganisme peka', 'radang akibat amandel', 'radang', 'radang akut yang berat', 'peradangan lokal', 'peradangan']"
radang ginjal,"['radang pasu ginjal', 'radang ginjal', 'pielonefritis radang ginjal serentak radang pasu ginjal']"
radang gusi,['radang gusi']
radang hati,['peradangan hati']
radang hidung,"['peradangan mukosa hidung', 'peradangan hidung', 'peradangan akibat infeksi hidung']"
radang jaringan kuku,['radang jaringan kuku']
radang kulit,"['radang kkulit', 'radang kulit']"
radang mata,"['penyakit radang mata', 'gangguan radang mata', 'radang kornea mata', 'radang mata akibat reaksi alergi', 'peradangan mata', 'radang kantung air mata', 'radang selaput bening mata', 'radang selaput ikat mata', 'radang saraf mata', 'peradangan selaput mata', 'radang kelopak mata']"
radang mulut,"['peradangan rongga mulut tenggorokan', 'radang selaput lendir mulut', 'peradangan radang mulut', 'radang mulut']"
radang otot,['radang otot']
radang panggul,['penyakit radang panggul']
radang pankreas,['radang pankreas']
radang prostat,['radang prostat']
radang saluran pernapasan,"['radang ringan saluran nafas', 'peradangan saluran pernafasan bagian atas', 'radang saluran nafas']"
radang saraf,['radang saraf']
radang selaput lendir,['radang selaput lendir']
radang sendi,"['peradangan sendi', 'radang sendi']"
radang sumsum tulang,"['radang sumsum tulang', 'radang sumsum tulang akut']"
radang telinga,"['radang telinga bagian luar tengah', 'inflamasi radang telinga', 'radang telinga bagian luar', 'radang telinga tengah', 'radang telinga bagian luar  tengah', 'radang telinga akut kronis', 'peradangan akibat infeksi telinga', 'radang rongga gendang telinga', 'radang telinga bagian tengah']"
radang tenggorokan,"['radang tenggorokan', 'peradangan akibat infeksi tenggorokan']"
radang usus,"['radang pada usus', 'radang usus', 'radang usus halus', 'radang usus peradangan usus']"
rakitis,"['rakhitis akibat defisiensi vit  d', 'rickets', 'rickettsia', 'riketsia', 'infeksi ricketsia', 'ricketsia', 'rakhitis akibat defisiensi vit d', 'penyakit rickets', 'rachitis rickets', 'rakhitis']"
rambut rontok,"['kerontokan rambut', 'rambut rontok']"
reactive arthritis,['reactive arthritis']
rematik,"['renatik tulang', 'rematik', 'penyakit reumatik', 'penyakit renatik tulang', 'rheumatik', 'rematik non artikular', 'nonartikular reumatik', 'nyeri reumatik', 'reumatik tulang', 'rematik tulang', 'reumatik non artikular sakit tulang', 'reumatik non artikular', 'reumatik non sendi', 'reumatik jaringan lunak terlokalisir', 'nyeri penyakit reumatik', 'non artikular reumatik', 'reumatik nonartikular', 'reumatik', 'reumatik sendi', 'rematik nonartikular']"
retensi urin pasca operasi,['retensi urin pasca operasi']
rheumatoid arthritis,"['gejala artritis reumatoid', 'juvenile artritis reumatoid', 'rheumatoid arthritis poliartritis kronik', 'rematoid artritis', 'atritis rematoid', 'rheumatoid artritis', 'pasien rematoid atritis akut kronis', 'artritis rematoid aktif', 'reumatoid artritis akut kronis', 'rheumatoid arthritis ra', 'reumatik generatif atritis rematoid', 'rematoid atritis akut', 'rematik artritis', 'rematoid atritis akut kronis', 'gejala juvenile artritis reumatoid', 'arthritis reumatik', 'reumatoid artritis kronis', 'artritis rheumatoid juvenil', 'arthritis rheumatoid', 'reumatoid arthritis', 'rematoid atritis kronis', 'artritis rheumatoid', 'rheumatoid arthritis', 'rematoid astritis ar', 'reumatoid atritis kronis', 'ra', 'rematoid artitis', 'reumatoid atritis akut', 'nyeri rematoid atritis kronis', 'artritis rematoid', 'rematoid', 'arthritis reumatoid ar', 'rheumatoid arhritis', 'reumatoid artritis', 'rematoid athritis', 'reumatoid artritis akut', 'ar', 'reumatoid atritis akut kronis', 'nyeri rematoid atritis akut', 'inflamasi degeneratif artritis rematoid', 'reumatoid atritis', 'artritis reumatoid', 'arthritis reumatoid']"
rhinitis,"['rinitis vasomotorik', 'rhinitis vasomotor', 'rhinitis', 'rinitis menahun', 'vasomotor rhinitis', 'perennial rhinitis', 'rinitis purulen', 'rinitis parenial', 'rinitis vasomotor']"
rhinitis alergi,"['rinitis alergi tahunan musiman', 'alergi rinitis', 'rinitis persisten', 'rinitis perenial', 'rinitis alergi nasal', 'rinitis alergi perenial', 'alergi pernafasan', 'allergic rhinitis', 'rinitis alergi musiman tahunan', 'rinitis alergi seasonal', 'rinitis alergi seasonal perenial', 'rhinitis alergika', 'alergi rinitis perenial', 'alergi rinitis intermiten persisten menerus', 'rinitis alergi konjungtivitis', 'rinitis alergi musiman', 'alergi rinitis nasal nonnasal', 'alergi rinitis intermitensewaktu', 'rinitis alergi musiman menahunterus menerus', 'rinitis intermiten', 'rinitis alergi persisten', 'alergi rhinitis', 'rinitis alergika', 'alergi hidung', 'rinitis musiman', 'rinitis alergik', 'rinitis alergi musiman perennial', 'rhinitis alergi', 'rinitis alergi menahun musiman', 'alergi rinitis persistenterusmenerus', 'rinitis', 'alergi rinitis intermiten persisten  menerus', 'rinitis alergi', 'alergi rinitis nasal  nonnasal']"
riketsiosis,['riketsiosis']
rinofaringitis,['rinofaringitis']
ruam merah,"['merah', 'kemerahan', 'ruam merah', 'bercak merah', 'kemerahan keadaan inflamasi', 'merah iritasi', 'tinea manus ruam merah tangan']"
ruam popok,['ruam popok']
sakit gigi,"['sakit saat pertumbuhan gigi', 'sakit gigi nyeri ringan', 'sakil gigi', 'sakit gigi']"
sakit kepala,"['skit kepala', 'sakit kepalan', 'sakit kepala derajat sedang', 'nyeri sakit kepala', 'sakit kepala kekakuan otot', 'sakit kepala', 'sakit kepala sakit gigi', 'sakit kepala vaskular', 'sakit kepala sebelah']"
sakit maag,"['sakit maag', 'maag']"
sakit otot,['sakit otot']
sakit pasca vaksinasi,"['sakit paska vaksinasi', 'sakit pasca vaksinasi']"
sakit perut,"['sakit perut', 'sakit perus']"
sakit pinggang,"['sakit pinggan', 'sakit pinggang', 'sakit otot pinggang']"
sakit pundak,['sakit pundak']
sakit punggung,"['sakit punggung', 'sakit punggung bagian bawah', 'sakit punggung bawah']"
sakit sendi,['sakit sendi']
sakit tenggorokan,"['sakıt tenggorokan', 'sakit tenggorokan', 'rasa sakit tenggorokan', 'rasa sakit di tenggorokan']"
salpingitis,['salpingitis']
sariawan,"['nyeri akibat sariawan', 'panas dalam disertai sariawan', 'sariawan', 'tukak sariawan']"
selulitis,"['selulitis pelvis', 'selulitis pelvis pasca operasi vagina', 'selulitis']"
sepsis,"['sepsis intra abdominal', 'sepsis puerperal intra abdomen', 'sepsis purpura', 'sepsis', 'sepsis intraabdominal', 'sepsis puerperal']"
septic arthritis,"['artritis septik', 'artritis septik osteomielitis']"
septikemia,"['septicaemia', 'kulit septikemia', 'septikemia', 'septikemiakeracunan darah oleh bakteri patogenik zatzat dihasilkan oleh bakteri tersebut', 'septicemia', 'septikemia keracunan darah oleh bakteri patogenik danatau zatzat dihasilkan oleh bakteri tersebut']"
serangan jantung,['serangan jantung']
servisitis,"['servisitis sal pernafasan kecuali disebabkan streptococus', 'uretritis servisitis', 'servisitis go', 'infeksi servisitis non gonokokal', 'servisitis komplikasi', 'uretritis go servisitis komplikasi', 'cervicitis', 'uretritis servisitis go', 'servisitis sal pernafasan', 'servisitis']"
sesak napas,"['sesak napas', 'mengi sesak napas paruparu asma', 'sesak nafas', 'sesak']"
sicca,"['sindrom sicca', 'sicca']"
sifilis,"['sipilis', 'sifilis']"
sindrom nefrotik,"['sindrom nefrotik', 'sindroma nefrotik']"
sindrom raynaud,"['sindroma raynaud', 'fenomena reynaud', 'fenomena raynaud', 'sindrom raynaud']"
sindrom zollinger-ellison,"['sindroma zollingerellison pendarahan gi', 'hipersekrese patologis sindroma zollinger ellison', 'sindrom zollingerellison', 'sindrom zollinger ellison adenoma endokrin multiple', 'hipersekreasi patologis seperti sindroma zollingerellison', 'hipersekreasi patologis zollingerellison', 'sindrom zollinger ellison', 'hipersekreasi patologis sindrom zollinger ellison', 'sindroma zollinger ellison pendarahan gi', 'sindrom zollinger-ellison', 'sindroma zollinger', 'sindroma zollingerellison', 'sindrom zollinger', 'hipersekresi patologis sindroma zollinger ellison', 'zollinger ellison syndrome', 'sindrom zollinge', 'sindroma zollinger ellison', 'sindrom zollingerellison adenoma endokrin multiple']"
sindroma leher,['sindroma leher']
sinusitis,"['sinusitis akut', 'sinusitus', 'sinusitis', 'rinosinusitis', 'sinusitis alergi', 'sinusitis maksilaris akut', 'sistitis', 'sinusitis maxillary akut', 'sinusitis bakterial akut', 'sinusitis maksilaris']"
sirosis,"['sirosis hepatik', 'sirosis hati', 'sirosis']"
skiatika,['skiatika']
skleritis,"['sclaritis', 'scleritis', 'skleritis']"
sklerosis,['sklerosis multipel']
skorbut,['skorbut']
spasme,['spasme']
spasme kram muskuloskeletal,"['spasme kram muskuloskeletal', 'spasme muskuloskeletal']"
spondilartritis,"['spondiloartritis akut', 'spondiloartritis', 'spondiloartritis akut kronik', 'spondilartritis', 'spondiloartritis kronik']"
spondilitis deformans,['spondilitis deformans']
stenosis pilorus,"['stenosis pylorus', 'stenosis pilorikringan', 'stenosis pilorus', 'stenosis pilorik', 'stenosis pilorik bersifat ringan']"
strain,"['strains otot tegang', 'strains', 'strain']"
stres,"['stres', 'stress']"
stroke,['stroke']
stroke iskemik,"['stroke iskemik', 'stroke iskhemik', 'gejala iskhemik']"
takikardia,"['takikardia supraventrikuler paroksismal', 'takikardia supraventrikular paroksismal', 'takikardia atrial ektopik', 'takikardia']"
tbc (tuberkulosis),"['tbc paru', 'tbc', 'tuberkulosis paru resisten', 'mycobacterium tuberculosis', 'tuberkulosis ekstrapulmoner', 'tuberkulosis pulmoner', 'tuberkulosis', 'tb pulmoner', 'antituberkulosis', 'tuberkulosis tb paru resistensi', 'tuberkulosis paru', 'tb aktif mycobacterium tuberculosa', 'tuberkulosis pulmoner ekstrapulmoner', 'tuberkulosis milliar', 'ekstrapulmoner', 'tuberkulosis primer', 'tbc infeksi mikobakterial', 'tb tuberkulosis pulmoner ekstrapulmoner', 'tuberkulosa', 'tbc ekstra paru', 'tb', 'tbc paru paru', 'tbc lepra', 'tb paru', 'tuberkolusis', 'tubercolsis', 'mycobacterium tuberculosa', 'tuberkulosa paru']"
tendinitis,['tendinitis']
tendovaginitis,['tendovaginitis']
tenggorokan gatal,['tenggorokan gatal']
tenggorokan kering,['tenggorokan kering']
terkilir,"['sakit terkilir', 'terkilir', 'terkilir ringan']"
tetanus,['tetanus']
tifus,"['scrub tifus', 'profilaksis scrub tifus', 'tifus', 'skrub tipus', 'demam tifus']"
tinea barbae,"['tinea barbae', 'sikosis barbae']"
tinea capitis,"['tinea kapitis', 'tinea capitis', 'dermatomiosis kandidiasis mikosis sistemik tinea corporis tinea pidea tinea kapitis']"
tinea corporis,"['tinea kruris korporis', 'tinea corporis', 'tinea korporis', 'tinea corporis kurap', 'tinea korporis kurap']"
tinea cruris,"['tinea cruris gatal jamur selangkangan', 'tinea cruris', 'tinea kuris', 'tinea krusis', 'gatal jamur selangkangan', 'krusis', 'tinea kruris']"
tinea manus,['tinea manus']
tinea pidea,['tinea pidea']
tinnitus,"['telinga berdengung', 'tinitus telinga berdenging', 'telinga berdengung tinnitus', 'tinitus', 'tinnitus']"
tirotoksikosis,"['tirotoksikosis feokhromositoma', 'tirotoksikosis']"
toksoplasmosis,"['profilaksis toksoplasmosis wanita hamil', 'infeksi toxoplasmosis', 'toksoplasmosis', 'infeksi toksoplasmosis', 'toxoplasmosis']"
tonsilitis,"['tonsillitis', 'tonsilitis akut', 'tonsilitis', 'tonsilitis streptokokus']"
trakhitis,['trakhitis']
trauma terkilir,['trauma terkilir']
tremor esensial,['tremor esensial']
trikomoniasis,"['trikomoniasis', 'trikomoniasis salurah kemih kelamin']"
tromboflebitis,['tromboflebitis']
trombositemia,['trombositemia']
trombositopenia,['trombositopenia']
tukak lambung,"['pasien tukak lambung', 'tukakulkus lambung', 'tukak lambung duodenum', 'ulkustukak peptik', 'tukak lambung aktif', 'ulkus lambung usus halus', 'ulkus peptikum', 'tukak ulkus lambung', 'lesi lambung', 'ulkus lambung', 'tukak lambung ulkus peptik', 'tukak lambung jinak', 'tukak kulit', 'seperli tukak lambung', 'tukak peptik', 'tukak duodenum tukak lambung ringan', 'tukak', 'tukak lambung usus duabelas jari', 'tuka lambung', 'tukakulkus peptik', 'ulkus tukak lambung usus halus', 'penyakit lambung usus halus', 'tukak lambung usus', 'ulkus tukak lambung', 'luka lambung', 'ulkus peptikum disebabkan h pylori', 'tukak lambung ringan', 'tukak ulkus lambung ulkus tukak lambung paska tindakan', 'tukak lambung danatau usus halus', 'tukak khronik', 'tukak lambung', 'ulkus peptik', 'tukak ulkus peptikum', 'tukak ulkus peptik', 'tukak lambung tukak duodenum', 'ulkus tukak peptik', 'tukak ulkus lambung usus halus', 'tukak lambung jinak tukak pasca operasi', 'tukak lambung tukak usus halus', 'pencegahan kambuhnya tukakulkus peptik']"
tukak pasca operasi,['tukak pasca operasi']
tukak traumatik,['tukak traumatik']
tukak trofik,"['tukak trofik', 'tukak trofik varises']"
tumor,"['tumor jinak', 'tumor']"
ulkus,"['tukak ulkus', 'ulkus']"
ulkus dekubitus,['ulkus dekubitus']
ulkus duodenum,"['ulkus duodenal', 'tukak usus belas jari', 'ulkus peptik usus halus', 'ulus duodenum aktif', 'tukak duodenum hpylori', 'tukak usus dua belas jari', 'ulcus duodenal', 'ulkustukak usus halus', 'tukak usus halus', 'ulkus aktif usus halus duodenum', 'tukak usus', 'lesi duodenum', 'tukak duodenal', 'tukak usus 12 jari', 'tukakulkus usus halus', 'tukak duodenum akut', 'tukak duodenum', 'ulkus tukak usus halus aktif', 'tukakulkus lambungusus halus', 'tukak usus belas jari aktif', 'tukak ulkus peptik usus halus', 'ulkus usus halus', 'ulkus usus halus duodenum', 'terapi ulkus usus halus duodenum paska aktifnya', 'ulkus duodenum aktif', 'luka duodenal', 'ulkus tukak usus halus', 'ulkus deudenum', 'lesi lambung duodenum', 'ulkustukak lambungusus halus', 'ulkus duodenum', 'tukak lambungusus halus', 'tuka duodenal', 'tukak usus 12 jari lambung', 'tukak usus 12 jari aktif']"
ulkus genital,"['penyakit ulkus genital orang dewasa', 'penyakit ulkus genital']"
ulkus kornea,"['ulkus pada kornea', 'ulkus kornea', 'tukak kornea', 'luka kornea', 'tukak kornea mata']"
ulkus sistem pencernaan,['ulkus sistem pencernaan']
uretritis,"['urethris', 'gi uretritis', 'uretritis nongonokokus', 'uritritis non gonokokal', 'gi uretritis servisitis go', 'uretritis', 'urethritis vaginitis', 'uritritis', 'infeksi uretritis', 'uretritis non go', 'protozoa uretritis', 'uretritis nongonococcal', 'urethritis']"
urogenital trichomoniasis,"['urogenital trichomoniasis', 'trikomoniasis sal kemih kelamin']"
urtikaria,"['alergi urtikaria angioedema cold urticaria allergic rhinitis vasomotor rhinitis', 'manifestasi alergi kulit urtikaria', 'cold urticaria', 'urtikaria kronik', 'urtikaria', 'urtikaria idiopatik kronis', 'urtikaria khronik', 'rinitis urtikaria', 'urtikaria idiopati kronis', 'urtikaria idiopatik kronik', 'urticaria', 'alergi urtikaria', 'cold urtikaria', 'urilkaria', 'urtikaria kronis', 'urtikaria idiopatik khronik']"
uveitis,"['uveitis', 'chronic anterior uveitis']"
vaginitis,"['vaginitis trichomonas vaginalis', 'vaginitis nonspesifik', 'vaginitis trichomonas', 'vaginitis', 'trichomonas vaginalis', 'vaginitis kandida']"
vaginosis bakterialis,"['bacterial vaginosis', 'vaginosis bakterialis']"
varicela,"['varicella zoster', 'varicela', 'varisela', 'varicella']"
varises,['varises']
vertigo,"['vertigo perifer', 'vertigo']"
vulvitis,"['vulvitis', 'vulvitas']"
wasir (ambeien),"['hemoroidwasir eksternal', 'wasir kronis menahun', 'hemoroid eksternal', 'hemoroid interna', 'wasir akut', 'wasir (ambeien)', 'hemoroid wasir', 'gejala wasir', 'wasir ambeien', 'hemoroid akut internal eksternal', 'wasir kronik', 'hemoroid internal', 'wasir', 'nyeri panas pendarahan akibat wasir', 'ambien wasir', 'hemoroid eksterna', 'wasirhemoroid', 'hemoroid interna eksterna', 'hemoroid akut', 'wasir internal eksternal', 'hemoroidwasir internal', 'wasir kronik akut', 'hemoroid']"
